0.00,0.00,0.00,,,,,,,,,,,,
0.11,0.17,0.00,,,,,,,,,,,,
0.11,0.17,0.00,,,,,,,,,,,,
0.11,0.00,0.00,0.33,,,,,,,,,,,
0.11,0.00,0.00,,,0.20,,,,,,,,,
0.11,0.00,0.00,,,0.20,0.20,,,,,,,,
0.11,0.17,0.00,0.33,,,,,,,,,0.25,0.17,
0.11,0.00,0.00,,,,,,0.50,0.33,,,,,
0.11,0.17,0.00,,,,,0.50,,0.33,,,,,
0.11,0.17,0.33,,,0.20,0.20,0.50,0.50,0.33,0.25,,,0.17,
0.00,0.17,0.33,0.33,1.00,0.20,0.20,,,,0.25,0.25,0.25,0.17,0.33
0.00,0.00,0.33,,,0.20,,,,,0.25,0.25,0.25,0.17,0.33
0.00,0.00,0.00,,,,0.20,,,,0.25,0.25,0.25,0.17,0.33
0.00,0.00,0.00,,,,0.20,,,,,,,0.17,
0.00,0.00,0.00,,,,,,,,,0.25,,,
